"","From","To","Type"
"741","ZCN","ETHC","Airport"
"743","FRZ","ETHF","Airport"
"758","RLG","ETNL","Airport"
"772","IGS","ETSI","Airport"
"776","ALJ","FAAB","Airport"
"777","AGZ","FAAG","Airport"
"779","BIY","FABE","Airport"
"780","BFN","FABL","Airport"
"783","CPT","FACT","Airport"
"785","DUR","FALE","Airport"
"786","ELS","FAEL","Airport"
"788","FCB","FAFB","Airport"
"789","GCJ","FAGC","Airport"
"790","GRJ","FAGG","Airport"
"795","HRS","FAHR","Airport"
"796","HDS","FAHS","Airport"
"798","JNB","FAOR","Airport"
"799","KXE","FAKD","Airport"
"800","KIM","FAKM","Airport"
"803","KMH","FAKU","Airport"
"804","KLZ","FAKZ","Airport"
"805","HLA","FALA","Airport"
"808","SDB","FALW","Airport"
"809","LAY","FALY","Airport"
"811","MGH","FAMG","Airport"
"814","LLE","FAMN","Airport"
"816","MZQ","FAMU","Airport"
"817","NCS","FANC","Airport"
"819","OVG","FAOB","Airport"
"820","OUH","FAOH","Airport"
"821","PLZ","FAPE","Airport"
"822","PBZ","FAPG","Airport"
"823","PHW","FAPH","Airport"
"825","JOH","FAPJ","Airport"
"826","PZB","FAPM","Airport"
"827","NTY","FAPN","Airport"
"828","PTG","FAPP","Airport"
"829","PCF","FAPS","Airport"
"831","UTW","FAQT","Airport"
"832","RCB","FARB","Airport"
"834","ROD","FARS","Airport"
"835","SBU","FASB","Airport"
"836","ZEC","FASC","Airport"
"840","SIS","FASS","Airport"
"842","SZK","FASZ","Airport"
"846","LTA","FATZ","Airport"
"847","ULD","FAUL","Airport"
"848","UTN","FAUP","Airport"
"849","UTT","FAUT","Airport"
"850","VRU","FAVB","Airport"
"851","VIR","FAVG","Airport"
"852","VRE","FAVR","Airport"
"854","PRY","FAWB","Airport"
"860","FRW","FBFT","Airport"
"861","JWA","FBJW","Airport"
"862","BBK","FBKE","Airport"
"863","MUB","FBMN","Airport"
"864","GBE","FBSK","Airport"
"865","PKW","FBSP","Airport"
"866","BZV","FCBB","Airport"
"867","FTX","FCOO","Airport"
"868","OUE","FCOU","Airport"
"869","PNR","FCPP","Airport"
"870","MTS","FDMS","Airport"
"871","BGF","FEFF","Airport"
"872","BBT","FEFT","Airport"
"873","BSG","FGBT","Airport"
"874","SSG","FGSL","Airport"
"876","MRU","FIMP","Airport"
"877","RRG","FIMR","Airport"
"879","TKC","FKKC","Airport"
"880","DLA","FKKD","Airport"
"881","MVR","FKKL","Airport"
"882","FOM","FKKM","Airport"
"883","NGE","FKKN","Airport"
"884","GOU","FKKR","Airport"
"885","BFX","FKKU","Airport"
"886","BPC","FKKV","Airport"
"887","YAO","FKKY","Airport"
"888","CGJ","FLKE","Airport"
"889","LVI","FLLI","Airport"
"890","LUN","FLLS","Airport"
"891","MFU","FLMF","Airport"
"892","MNR","FLMG","Airport"
"893","NLA","FLND","Airport"
"894","KIW","FLSO","Airport"
"895","HAH","FMCH","Airport"
"896","NWA","FMCI","Airport"
"897","AJN","FMCV","Airport"
"898","DZA","FMCZ","Airport"
"899","RUN","FMEE","Airport"
"900","ZSE","FMEP","Airport"
"901","TNR","FMMI","Airport"
"902","ZVA","FMMN","Airport"
"903","SMS","FMMS","Airport"
"904","TMM","FMMT","Airport"
"905","MOQ","FMMV","Airport"
"906","DIE","FMNA","Airport"
"907","WMR","FMNC","Airport"
"908","ZWA","FMND","Airport"
"909","AMB","FMNE","Airport"
"910","ANM","FMNH","Airport"
"911","HVA","FMNL","Airport"
"912","MJN","FMNM","Airport"
"913","NOS","FMNN","Airport"
"914","BPY","FMNQ","Airport"
"915","WMN","FMNR","Airport"
"916","SVB","FMNS","Airport"
"917","VOH","FMNV","Airport"
"918","WAI","FMNW","Airport"
"919","IVA","FMNZ","Airport"
"920","FTU","FMSD","Airport"
"921","WFI","FMSF","Airport"
"922","RVA","FMSG","Airport"
"923","WVK","FMSK","Airport"
"924","MNJ","FMSM","Airport"
"925","MXM","FMSR","Airport"
"926","TLE","FMST","Airport"
"927","SSY","FNBC","Airport"
"928","BUG","FNBG","Airport"
"929","CAB","FNCA","Airport"
"930","NOV","FNHU","Airport"
"931","SVP","FNKU","Airport"
"933","LAD","FNLU","Airport"
"934","MEG","FNMA","Airport"
"935","SPP","FNME","Airport"
"936","GXG","FNNG","Airport"
"937","PBN","FNPA","Airport"
"938","VHC","FNSA","Airport"
"939","SZA","FNSO","Airport"
"940","SDD","FNUB","Airport"
"941","LUO","FNUE","Airport"
"942","UGO","FNUG","Airport"
"943","XGN","FNXA","Airport"
"944","OYE","FOGO","Airport"
"945","OKN","FOGQ","Airport"
"946","LBQ","FOGR","Airport"
"947","BMM","FOOB","Airport"
"948","POG","FOOG","Airport"
"949","OMB","FOOH","Airport"
"950","MKU","FOOK","Airport"
"951","LBV","FOOL","Airport"
"952","MVB","FOON","Airport"
"953","PCP","FPPR","Airport"
"954","TMS","FPST","Airport"
"955","BEW","FQBR","Airport"
"956","INH","FQIN","Airport"
"957","VXC","FQLC","Airport"
"958","LFB","FQLU","Airport"
"959","MPM","FQMA","Airport"
"960","MUD","FQMD","Airport"
"961","MZB","FQMP","Airport"
"963","MNC","FQNC","Airport"
"964","APL","FQNP","Airport"
"965","POL","FQPB","Airport"
"966","UEL","FQQL","Airport"
"968","TET","FQTT","Airport"
"970","VNX","FQVL","Airport"
"972","DES","FSDR","Airport"
"974","SEZ","FSIA","Airport"
"975","PRI","FSPP","Airport"
"977","AEH","FTTC","Airport"
"978","MQQ","FTTD","Airport"
"979","NDJ","FTTJ","Airport"
"980","FYT","FTTY","Airport"
"981","BUQ","FVBU","Airport"
"983","BFO","FVCZ","Airport"
"984","VFA","FVFA","Airport"
"985","HRE","FVHA","Airport"
"986","KAB","FVKB","Airport"
"988","UTA","FVMU","Airport"
"989","MVZ","FVMV","Airport"
"992","HWN","FVWN","Airport"
"993","BLZ","FWCL","Airport"
"994","KGJ","FWKA","Airport"
"995","KBQ","FWKG","Airport"
"996","LLW","FWKI","Airport"
"997","ZZU","FWUU","Airport"
"998","MSU","FXMM","Airport"
"1000","FIH","FZAA","Airport"
"1001","NLO","FZAB","Airport"
"1002","MNB","FZAG","Airport"
"1004","FDU","FZBO","Airport"
"1005","KKW","FZCA","Airport"
"1006","MDK","FZEA","Airport"
"1007","BDT","FZFD","Airport"
"1008","GMA","FZFK","Airport"
"1009","KLI","FZFP","Airport"
"1010","LIQ","FZGA","Airport"
"1011","FKI","FZIC","Airport"
"1012","IRP","FZJH","Airport"
"1013","BUX","FZKA","Airport"
"1014","BZU","FZKJ","Airport"
"1015","BKY","FZMA","Airport"
"1016","GOM","FZNA","Airport"
"1017","KND","FZOA","Airport"
"1018","FBM","FZQA","Airport"
"1019","KWZ","FZQM","Airport"
"1020","FMI","FZRF","Airport"
"1021","KMN","FZSA","Airport"
"1022","KGA","FZUA","Airport"
"1023","MJM","FZWA","Airport"
"1024","BKO","GABS","Airport"
"1025","GAQ","GAGO","Airport"
"1026","KYS","GAKY","Airport"
"1027","MZI","GAMB","Airport"
"1028","TOM","GATB","Airport"
"1030","BJL","GBYD","Airport"
"1031","FUE","GCFV","Airport"
"1032","VDE","GCHI","Airport"
"1033","SPC","GCLA","Airport"
"1034","LPA","GCLP","Airport"
"1035","ACE","GCRR","Airport"
"1036","TFS","GCTS","Airport"
"1037","TFN","GCXO","Airport"
"1038","MLN","GEML","Airport"
"1039","FNA","GFLL","Airport"
"1041","MLW","GLMR","Airport"
"1042","ROB","GLRB","Airport"
"1043","AGA","GMAD","Airport"
"1044","TTA","GMAT","Airport"
"1045","FEZ","GMFF","Airport"
"1047","ERH","GMFK","Airport"
"1048","MEK","GMFM","Airport"
"1049","OUD","GMFO","Airport"
"1050","GMD","GMMB","Airport"
"1051","RBA","GMME","Airport"
"1052","CMN","GMMN","Airport"
"1053","RAK","GMMX","Airport"
"1054","NNA","GMMY","Airport"
"1055","OZZ","GMMZ","Airport"
"1056","AHU","GMTA","Airport"
"1057","TTU","GMTN","Airport"
"1058","TNG","GMTT","Airport"
"1059","ZIG","GOGG","Airport"
"1060","CSK","GOGS","Airport"
"1061","KLC","GOOK","Airport"
"1062","DKR","GOOY","Airport"
"1063","XLS","GOSS","Airport"
"1064","BXE","GOTB","Airport"
"1065","KGG","GOTK","Airport"
"1066","TUD","GOTT","Airport"
"1067","AEO","GQNA","Airport"
"1068","TIY","GQND","Airport"
"1069","KFA","GQNF","Airport"
"1070","EMN","GQNI","Airport"
"1071","KED","GQNK","Airport"
"1072","NKC","GQNO","Airport"
"1073","SEY","GQNS","Airport"
"1074","ATR","GQPA","Airport"
"1075","NDB","GQPP","Airport"
"1077","FIG","GUFA","Airport"
"1078","FAA","GUFH","Airport"
"1079","LEK","GULB","Airport"
"1080","SID","GVAC","Airport"
"1081","BVC","GVBA","Airport"
"1082","MMO","GVMA","Airport"
"1083","SNE","GVSN","Airport"
"1084","VXE","GVSV","Airport"
"1085","ADD","HAAB","Airport"
"1087","AMH","HAAM","Airport"
"1088","AXU","HAAX","Airport"
"1089","BJR","HABD","Airport"
"1090","DIR","HADR","Airport"
