"","From","To","Type"
"3088","KCH","WBGG","Airport"
"3089","LMN","WBGJ","Airport"
"3090","MUR","WBGM","Airport"
"3091","MYY","WBGR","Airport"
"3092","SBW","WBGS","Airport"
"3093","LDU","WBKD","Airport"
"3094","BKI","WBKK","Airport"
"3095","LBU","WBKL","Airport"
"3096","TWU","WBKW","Airport"
"3097","BWN","WBSB","Airport"
"3098","PKU","WIBB","Airport"
"3099","DUM","WIBD","Airport"
"3100","CGK","WIII","Airport"
"3101","GNS","WIMB","Airport"
"3102","AEG","WIME","Airport"
"3103","PDG","WIPT","Airport"
"3105","FLZ","WIMS","Airport"
"3106","NPO","WIOG","Airport"
"3107","KTG","WIOK","Airport"
"3108","PNK","WIOO","Airport"
"3109","DJB","WIPA","Airport"
"3110","BKS","WIPL","Airport"
"3111","PLM","WIPP","Airport"
"3112","RGT","WIPR","Airport"
"3113","LSX","WITL","Airport"
"3114","BTJ","WITT","Airport"
"3116","AOR","WMKA","Airport"
"3117","BWH","WMKB","Airport"
"3118","KBR","WMKC","Airport"
"3119","KUA","WMKD","Airport"
"3120","KTE","WMKE","Airport"
"3122","IPH","WMKI","Airport"
"3123","JHB","WMKJ","Airport"
"3124","KUL","WMKK","Airport"
"3125","LGK","WMKL","Airport"
"3126","MKZ","WMKM","Airport"
"3127","TGG","WMKN","Airport"
"3128","PEN","WMKP","Airport"
"3129","UAI","WPDB","Airport"
"3130","DIL","WPDL","Airport"
"3131","BCH","WPEC","Airport"
"3135","XSP","WSSL","Airport"
"3136","SIN","WSSS","Airport"
"3137","ACF","YBAF","Airport"
"3138","ABM","YBAM","Airport"
"3139","ASP","YBAS","Airport"
"3140","BNE","YBBN","Airport"
"3141","OOL","YBCG","Airport"
"3142","CNS","YBCS","Airport"
"3143","CTL","YBCV","Airport"
"3144","ISA","YBMA","Airport"
"3145","MCY","YBMC","Airport"
"3146","MKY","YBMK","Airport"
"3147","PPP","YBPN","Airport"
"3148","ROK","YBRK","Airport"
"3149","TSV","YBTL","Airport"
"3150","WEI","YBWP","Airport"
"3151","AVV","YMAV","Airport"
"3152","ABX","YMAY","Airport"
"3153","MEB","YMEN","Airport"
"3155","HBA","YMHB","Airport"
"3156","LST","YMLT","Airport"
"3157","MBW","YMMB","Airport"
"3158","MEL","YMML","Airport"
"3160","ADL","YPAD","Airport"
"3162","JAD","YPJT","Airport"
"3163","KTA","YPKA","Airport"
"3164","KGI","YPKG","Airport"
"3165","KNX","YPKU","Airport"
"3166","LEA","YPLM","Airport"
"3167","PHE","YPPD","Airport"
"3169","PER","YPPH","Airport"
"3171","XCH","YPXM","Airport"
"3172","BWU","YSBK","Airport"
"3173","CBR","YSCB","Airport"
"3174","CFS","YSCH","Airport"
"3175","CDU","YSCN","Airport"
"3176","DBO","YSDU","Airport"
"3177","NLK","YSNF","Airport"
"3179","SYD","YSSY","Airport"
"3180","TMW","YSTW","Airport"
"3181","WGA","YSWG","Airport"
"3182","PEK","ZBAA","Airport"
"3183","HLD","ZBLA","Airport"
"3184","TSN","ZBTJ","Airport"
"3185","TYN","ZBYN","Airport"
"3186","CAN","ZGGG","Airport"
"3187","CSX","ZGHA","Airport"
"3188","KWL","ZGKL","Airport"
"3189","NNG","ZGNN","Airport"
"3190","SZX","ZGSZ","Airport"
"3191","CGO","ZHCC","Airport"
"3192","WUH","ZHHH","Airport"
"3193","FNJ","ZKPY","Airport"
"3194","LHW","ZLLL","Airport"
"3195","XIY","ZLXY","Airport"
"3196","ULN","ZMUB","Airport"
"3197","JHG","ZPJH","Airport"
"3198","KMG","ZPPP","Airport"
"3199","XMN","ZSAM","Airport"
"3200","KHN","ZSCN","Airport"
"3201","FOC","ZSFZ","Airport"
"3202","HGH","ZSHC","Airport"
"3203","NGB","ZSNB","Airport"
"3204","NKG","ZSNJ","Airport"
"3205","HFE","ZSOF","Airport"
"3206","TAO","ZSQD","Airport"
"3207","SHA","ZSSS","Airport"
"3208","YNT","ZSYT","Airport"
"3209","CKG","ZUCK","Airport"
"3210","KWE","ZUGY","Airport"
"3211","CTU","ZUUU","Airport"
"3212","XIC","ZUXC","Airport"
"3213","KHG","ZWSH","Airport"
"3214","HTN","ZWTN","Airport"
"3215","URC","ZWWW","Airport"
"3216","HRB","ZYHB","Airport"
"3217","MDG","ZYMD","Airport"
"3218","DLC","ZYTL","Airport"
"3219","PVG","ZSPD","Airport"
"3220","TOD","WMBT","Airport"
"3221","SZB","WMSA","Airport"
"3222","NTQ","RJNW","Airport"
"3223","HBE","HEBA","Airport"
"3224","BTI","PABA","Airport"
"3226","LUR","PALU","Airport"
"3227","PIZ","PPIZ","Airport"
"3228","ITO","PHTO","Airport"
"3229","ORL","KORL","Airport"
"3230","BTT","PABT","Airport"
"3232","UTO","PAIM","Airport"
"3233","FYU","PFYU","Airport"
"3234","SVW","PASV","Airport"
"3236","TLJ","PATL","Airport"
"3237","CZF","PACZ","Airport"
"3239","SNP","PASN","Airport"
"3240","EHM","PAEH","Airport"
"3241","STG","PAPB","Airport"
"3242","ILI","PAIL","Airport"
"3243","PTU","PAPM","Airport"
"3244","BMX","PABM","Airport"
"3245","OSC","KOSC","Airport"
"3246","OAR","KOAR","Airport"
"3247","MHR","KMHR","Airport"
"3250","FSM","KFSM","Airport"
"3252","GNT","KGNT","Airport"
"3253","PNC","KPNC","Airport"
"3255","GFK","KGFK","Airport"
"3256","PBF","KPBF","Airport"
"3258","HNM","PHHN","Airport"
"3260","TTN","KTTN","Airport"
"3261","BOS","KBOS","Airport"
"3263","RME","KRME","Airport"
"3264","ENV","KENV","Airport"
"3265","BFM","KBFM","Airport"
"3266","OAK","KOAK","Airport"
"3269","OGG","PHOG","Airport"
"3270","ICT","KICT","Airport"
"3271","MCI","KMCI","Airport"
"3273","DLG","PADL","Airport"
"3274","HRO","KHRO","Airport"
"3275","PHX","KPHX","Airport"
"3276","BGR","KBGR","Airport"
"3277","FXE","KFXE","Airport"
"3278","GGG","KGGG","Airport"
"3279","AND","KAND","Airport"
"3280","GEG","KGEG","Airport"
"3281","HWO","KHWO","Airport"
"3282","SFO","KSFO","Airport"
"3283","CTB","KCTB","Airport"
"3284","ARA","KARA","Airport"
"3285","GNV","KGNV","Airport"
"3286","MEM","KMEM","Airport"
"3287","DUG","KDUG","Airport"
"3289","CNW","KCNW","Airport"
"3290","ANN","PANT","Airport"
"3291","CAR","KCAR","Airport"
"3295","DHT","KDHT","Airport"
"3296","DLF","KDLF","Airport"
"3297","LAX","KLAX","Airport"
"3298","ANB","KANB","Airport"
"3299","CLE","KCLE","Airport"
"3301","CVG","KCVG","Airport"
"3302","FME","KFME","Airport"
"3304","HON","KHON","Airport"
"3305","JNU","PAJN","Airport"
"3306","LFT","KLFT","Airport"
"3307","EWR","KEWR","Airport"
"3310","GCK","KGCK","Airport"
"3311","MOT","KMOT","Airport"
"3317","HLN","KHLN","Airport"
"3321","HHR","KHHR","Airport"
"3322","HUL","KHUL","Airport"
"3326","LCH","KLCH","Airport"
"3327","KOA","PHKO","Airport"
"3328","MYR","KMYR","Airport"
"3329","NLC","KNLC","Airport"
"3330","ACK","KACK","Airport"
"3333","DCA","KDCA","Airport"
"3335","PSX","KPSX","Airport"
"3336","BYH","KBYH","Airport"
"3337","ACY","KACY","Airport"
"3339","ECG","KECG","Airport"
"3340","PUB","KPUB","Airport"
"3341","PQI","KPQI","Airport"
"3344","ADQ","PADQ","Airport"
"3345","UPP","PHUP","Airport"
"3346","FLL","KFLL","Airport"
"3348","INL","KINL","Airport"
"3349","SLC","KSLC","Airport"
"3350","CDS","KCDS","Airport"
"3353","NQI","KNQI","Train"
"3355","MDT","KMDT","Airport"
"3356","LNK","KLNK","Airport"
"3357","LAN","KLAN","Airport"
"3358","MUE","PHMU","Airport"
"3360","HKY","KHKY","Airport"
"3361","SPG","KSPG","Airport"
"3363","IAH","KIAH","Airport"
"3366","INT","KINT","Airport"
"3367","VCV","KVCV","Airport"
"3368","CEW","KCEW","Airport"
"3370","PHN","KPHN","Airport"
"3372","ELP","KELP","Airport"
"3373","HRL","KHRL","Airport"
"3374","CAE","KCAE","Airport"
"3377","PNS","KPNS","Airport"
"3379","HOU","KHOU","Airport"
"3381","ORT","PAOR","Airport"
"3382","PAQ","PAAQ","Airport"
"3383","PIT","KPIT","Airport"
"3384","BRW","PABR","Airport"
"3385","EFD","KEFD","Airport"
"3387","ALI","KALI","Airport"
"3389","MIA","KMIA","Airport"
"3390","SEA","KSEA","Airport"
"3392","BDR","KBDR","Airport"
"3393","JAN","KJAN","Airport"
"3394","GLS","KGLS","Airport"
"3395","LGB","KLGB","Airport"
"3397","IPT","KIPT","Airport"
"3398","IND","KIND","Airport"
"3400","AKC","KAKR","Airport"
"3401","GWO","KGWO","Airport"
"3402","HPN","KHPN","Airport"
"3403","FOK","KFOK","Airport"
"3404","JBR","KJBR","Airport"
"3405","XSD","KTNX","Airport"
"3406","LNA","KLNA","Airport"
"3409","YUM","KNYL","Airport"
"3411","DLH","KDLH","Airport"
"3412","BET","PABE","Airport"
"3415","LIH","PHLI","Airport"
"3416","HUF","KHUF","Airport"
"3417","HVR","KHVR","Airport"
"3418","MWH","KMWH","Airport"
"3419","MPV","KMPV","Airport"
"3421","RIC","KRIC","Airport"
"3422","SHV","KSHV","Airport"
"3423","CDV","PACV","Airport"
"3424","ORF","KORF","Airport"
"3425","BPT","KBPT","Airport"
"3426","SAV","KSAV","Airport"
"3428","OME","PAOM","Airport"
"3430","PIE","KPIE","Airport"
"3431","MNM","KMNM","Airport"
"3432","CXO","KCXO","Airport"
"3433","SCC","PASC","Airport"
"3434","SAT","KSAT","Airport"
"3435","ROC","KROC","Airport"
"3437","TEB","KTEB","Airport"
"3439","RDU","KRDU","Airport"
"3440","DAY","KDAY","Airport"
"3441","ENA","PAEN","Airport"
"3442","MLC","KMLC","Airport"
"3443","IAG","KIAG","Airport"
"3445","LIY","KLHW","Airport"
"3446","PHF","KPHF","Airport"
"3447","ESF","KESF","Airport"
"3449","TUS","KTUS","Airport"
"3452","IKK","KIKK","Airport"
"3454","PVD","KPVD","Airport"
"3455","SBY","KSBY","Airport"
"3457","BUR","KBUR","Airport"
"3458","DTW","KDTW","Airport"
"3459","TPA","KTPA","Airport"
"3460","PMB","KPMB","Airport"
"3463","HIB","KHIB","Airport"
"3464","LFK","KLFK","Airport"
"3465","MAF","KMAF","Airport"
"3466","GRB","KGRB","Airport"
"3467","ADM","KADM","Airport"
"3472","ISN","KISN","Airport"
"3473","LIT","KLIT","Airport"
"3474","SWF","KSWF","Airport"
"3475","BDE","KBDE","Airport"
"3476","SAC","KSAC","Airport"
"3477","HOM","PAHO","Airport"
"3481","HTL","KHTL","Airport"
"3483","DFW","KDFW","Airport"
"3484","MLB","KMLB","Airport"
"3486","AUS","KAUS","Airport"
"3487","LCK","KLCK","Airport"
"3488","MQT","KSAW","Airport"
"3489","TYS","KTYS","Airport"
"3491","STL","KSTL","Airport"
"3492","MIV","KMIV","Airport"
"3493","SPS","KSPS","Airport"
"3494","LUK","KLUK","Airport"
"3495","ATL","KATL","Airport"
"3496","MER","KMER","Airport"
"3498","GRR","KGRR","Airport"
"3499","INK","KINK","Airport"
"3500","FAT","KFAT","Airport"
"3501","VRB","KVRB","Airport"
"3502","IPL","KIPL","Airport"
"3503","BNA","KBNA","Airport"
"3504","LRD","KLRD","Airport"
"3506","OTZ","PAOT","Airport"
"3507","AOO","KAOO","Airport"
"3510","LGA","KLGA","Airport"
"3511","TLH","KTLH","Airport"
"3512","DPA","KDPA","Airport"
"3513","ACT","KACT","Airport"
"3514","AUG","KAUG","Airport"
"3517","MKL","KMKL","Airport"
"3518","MKK","PHMK","Airport"
"3522","CXL","KCXL","Airport"
"3523","CIC","KCIC","Airport"
"3524","BTV","KBTV","Airport"
"3525","JAX","KJAX","Airport"
"3526","DRO","KDRO","Airport"
"3527","IAD","KIAD","Airport"
"3530","MKE","KMKE","Airport"
"3531","ABI","KABI","Airport"
"3532","COU","KCOU","Airport"
"3533","PDX","KPDX","Airport"
"3534","TNT","KTNT","Airport"
"3535","PBI","KPBI","Airport"
"3536","FTW","KFTW","Airport"
"3537","OGS","KOGS","Airport"
"3538","FMH","KFMH","Train"
"3539","BFI","KBFI","Airport"
"3541","HNL","PHNL","Airport"
"3542","DSM","KDSM","Airport"
"3543","EWN","KEWN","Airport"
"3544","SAN","KSAN","Airport"
"3545","MLU","KMLU","Airport"
"3547","ONT","KONT","Airport"
"3548","GVT","KGVT","Airport"
"3549","ROW","KROW","Airport"
"3550","DET","KDET","Airport"
"3551","BRO","KBRO","Airport"
"3552","DHN","KDHN","Airport"
"3553","WWD","KWWD","Airport"
"3554","NFL","KNFL","Train"
"3555","MTC","KMTC","Airport"
"3556","FMN","KFMN","Airport"
"3557","CRP","KCRP","Airport"
"3558","SYR","KSYR","Airport"
"3560","MDW","KMDW","Airport"
"3561","SJC","KSJC","Airport"
"3562","HOB","KHOB","Airport"
"3563","PNE","KPNE","Airport"
"3564","DEN","KDEN","Airport"
"3565","PHL","KPHL","Airport"
"3567","MCN","KMCN","Airport"
"3568","TCS","KTCS","Airport"
"3569","PMD","KPMD","Airport"
"3571","NJK","KNJK","Airport"
"3572","CMH","KCMH","Airport"
"3577","GAL","PAGA","Airport"
"3579","MWL","KMWL","Airport"
"3582","BFT","KARW","Airport"
"3584","PBG","KPBG","Airport"
"3586","TCC","KTCC","Airport"
"3587","ANC","PANC","Airport"
"3588","GRK","KGRK","Airport"
"3590","BLI","KBLI","Airport"
"3591","NQA","KNQA","Airport"
"3593","HFD","KHFD","Airport"
"3594","SFZ","KSFZ","Airport"
"3595","MOB","KMOB","Airport"
"3597","SAF","KSAF","Airport"
"3598","BKH","PHBK","Airport"
"3599","DRI","KDRI","Airport"
"3601","OLS","KOLS","Airport"
"3603","BLV","KBLV","Airport"
"3604","OPF","KOPF","Airport"
"3605","DRT","KDRT","Airport"
"3606","RSW","KRSW","Airport"
"3607","AKN","PAKN","Airport"
"3608","MUI","KMUI","Airport"
"3609","JHM","PHJH","Airport"
"3610","JFK","KJFK","Airport"
"3611","HST","KHST","Airport"
"3612","RAL","KRAL","Airport"
"3614","WAL","KWAL","Airport"
"3618","SCK","KSCK","Airport"
"3619","CHS","KCHS","Airport"
"3620","RNO","KRNO","Airport"
"3621","KTN","PAKT","Airport"
"3622","YIP","KYIP","Airport"
"3624","BHM","KBHM","Airport"
"3625","NEL","KNEL","Airport"
"3626","SYA","PASY","Train"
"3628","RIV","KRIV","Airport"
"3630","SMF","KSMF","Airport"
"3631","UGN","KUGN","Airport"
"3632","COS","KCOS","Airport"
"3633","BUF","KBUF","Airport"
"3634","SKY","KSKY","Airport"
"3635","PAE","KPAE","Airport"
"3637","CDC","KCDC","Airport"
"3638","BDL","KBDL","Airport"
"3639","MFE","KMFE","Airport"
"3641","CEF","KCEF","Airport"
"3642","LBB","KLBB","Airport"
"3643","ORD","KORD","Airport"
"3644","BCT","KBCT","Airport"
"3645","FAI","PAFA","Airport"
"3648","NGF","PHNG","Airport"
"3650","GKN","PAGK","Airport"
"3651","ART","KART","Airport"
"3652","PSP","KPSP","Airport"
"3653","AMA","KAMA","Airport"
"3654","FOD","KFOD","Airport"
"3656","FOE","KFOE","Airport"
"3657","COT","KCOT","Airport"
"3658","ILM","KILM","Airport"
"3659","BTR","KBTR","Airport"
"3661","TYR","KTYR","Airport"
"3662","BWI","KBWI","Airport"
"3663","HBR","KHBR","Airport"
"3664","LNY","PHNY","Airport"
"3665","AEX","KAEX","Airport"
"3667","CDB","PACD","Airport"
"3668","TUL","KTUL","Airport"
"3669","SIT","PASI","Airport"
"3670","ISP","KISP","Airport"
"3671","MSP","KMSP","Airport"
"3672","ILG","KILG","Airport"
"3673","DUT","PADU","Airport"
"3674","MSY","KMSY","Airport"
"3675","PWM","KPWM","Airport"
"3676","OKC","KOKC","Airport"
"3677","ALB","KALB","Airport"
"3680","SNA","KSNA","Airport"
"3682","TMB","KTMB","Airport"
"3683","NTU","KNTU","Train"
"3685","CPR","KCPR","Airport"
"3686","VPS","KVPS","Airport"
"3688","EYW","KEYW","Airport"
"3689","CLT","KCLT","Airport"
"3690","LAS","KLAS","Airport"
"3691","MCO","KMCO","Airport"
"3692","FLO","KFLO","Airport"
"3693","GTF","KGTF","Airport"
"3694","YNG","KYNG","Airport"
"3698","BKK","VTBS","Airport"
"3699","NAH","WAMH","Airport"
"3700","MXB","WAWM","Airport"
"3701","SQR","WAWS","Airport"
"3702","TTR","WAWT","Airport"
"3703","KDI","WAWW","Airport"
"3704","SBG","WITB","Airport"
"3705","TSY","WICM","Airport"
"3707","MLG","WARA","Airport"
"3709","BDO","WICC","Airport"
"3710","CBN","WICD","Airport"
"3711","JOG","WARJ","Airport"
"3712","CXP","WIHL","Airport"
"3714","SRG","WARS","Airport"
"3715","BTH","WIDD","Airport"
"3716","TJQ","WIOD","Airport"
"3717","PGK","WIPK","Airport"
"3718","TNJ","WIDN","Airport"
"3719","SIQ","WIDS","Airport"
"3720","BDJ","WAOO","Airport"
"3721","BTW","WAOC","Airport"
"3722","PKN","WAOI","Airport"
"3723","PKY","WAOP","Airport"
"3724","MOF","WATC","Airport"
"3725","ENE","WATE","Airport"
"3726","RTG","WATG","Airport"
"3727","KOE","WATT","Airport"
"3728","LBJ","WATO","Airport"
"3729","BPN","WALL","Airport"
"3730","TRK","WALR","Airport"
"3731","SRI","WALS","Airport"
"3732","TSX","WALT","Airport"
"3733","AMI","WADA","Airport"
"3734","BMU","WADB","Airport"
"3735","WGP","WADW","Airport"
"3736","SUB","WARR","Airport"
"3737","SOC","WARQ","Airport"
"3738","ICN","RKSI","Airport"
"3739","CNX","VTCC","Airport"
"3740","CEI","VTCT","Airport"
"3741","NST","VTSF","Airport"
"3742","NAK","VTUQ","Airport"
"3743","KOP","VTUW","Airport"
"3744","UBP","VTUU","Airport"
"3745","KKC","VTUK","Airport"
"3746","THS","VTPO","Airport"
"3747","DPS","WADD","Airport"
"3748","ATH","LGAV","Airport"
"3749","NGO","RJGG","Airport"
"3750","UKB","RJBE","Airport"
"3751","PUW","KPUW","Airport"
"3752","LWS","KLWS","Airport"
"3753","ELM","KELM","Airport"
"3754","ITH","KITH","Airport"
"3755","MRY","KMRY","Airport"
"3756","SBA","KSBA","Airport"
"3757","DAB","KDAB","Airport"
"3758","LPX","EVLA","Airport"
"3759","RIX","EVRA","Airport"
"3760","SQQ","EYSA","Airport"
"3761","HLJ","EYSB","Airport"
"3762","KUN","EYKA","Airport"
"3764","PLQ","EYPA","Airport"
"3765","VNO","EYVI","Airport"
"3769","EVN","UDYZ","Airport"
"3770","LWN","UDSG","Airport"
"3771","ASA","HHSB","Airport"
"3772","ASM","HHAS","Airport"
"3773","MSW","HHMS","Airport"
"3774","GZA","LVGZ","Airport"
"3775","BUS","UGSB","Airport"
"3776","KUT","UGKO","Airport"
"3777","TBS","UGTB","Airport"
"3778","RIY","OYRN","Airport"
"3779","TAI","OYTZ","Airport"
"3780","HOD","OYHD","Airport"
"3781","ADE","OYAA","Airport"
"3782","AXK","OYAT","Airport"
"3783","AAY","OYGD","Airport"
"3784","SAH","OYSN","Airport"
"3785","BHN","OYBN","Airport"
"3786","SCT","OYSQ","Airport"
"3788","FMM","EDJA","Airport"
"3789","NAV","LTAZ","Airport"
"3790","EZE","SAEZ","Airport"
"3791","EBL","ORER","Airport"
"3792","EMD","YEML","Airport"
"3793","HEW","LGAT","Airport"
"3794","KIX","RJBB","Airport"
"3796","TAG","RPVT","Airport"
"3797","JAV","BGJN","Airport"
"3799","JEG","BGAA","Airport"
"3800","PMI","LEPA","Airport"
"3801","DRW","YPDN","Airport"
"3802","URT","VTSB","Airport"
"3806","TKA","PATK","Airport"
"3808","HVN","KHVN","Airport"
"3809","AVL","KAVL","Airport"
"3810","GSO","KGSO","Airport"
"3811","FSD","KFSD","Airport"
"3812","AYQ","YAYE","Airport"
"3813","MHT","KMHT","Airport"
"3814","APF","KAPF","Airport"
"3815","RDN","WMPR","Airport"
"3817","CHO","KCHO","Airport"
"3818","ROA","KROA","Airport"
"3819","LEX","KLEX","Airport"
"3820","EVV","KEVV","Airport"
"3823","BIL","KBIL","Airport"
"3824","BTM","KBTM","Airport"
"3825","TVC","KTVC","Airport"
"3826","FRS","MGTK","Airport"
"3827","BHB","KBHB","Airport"
"3828","RKD","KRKD","Airport"
"3829","JAC","KJAC","Airport"
"3830","RFD","KRFD","Airport"
"3831","DME","UUDD","Airport"
"3832","SYX","ZJSY","Airport"
"3833","MFN","NZMF","Airport"
"3835","LJG","ZPLJ","Airport"
"3836","GSP","KGSP","Airport"
"3839","BMI","KBMI","Airport"
"3840","GPT","KGPT","Airport"
"3841","AZO","KAZO","Airport"
"3842","TOL","KTOL","Airport"
"3843","FWA","KFWA","Airport"
"3844","DEC","KDEC","Airport"
"3845","CID","KCID","Airport"
"3846","LSE","KLSE","Airport"
"3847","CWA","KCWA","Airport"
"3848","PIA","KPIA","Airport"
"3849","ATW","KATW","Airport"
"3850","RST","KRST","Airport"
"3851","CMI","KCMI","Airport"
"3852","MHK","KMHK","Airport"
"3853","KGC","YKSC","Airport"
"3854","HVB","YHBA","Airport"
"3856","DLU","ZPDL","Airport"
"3858","MZV","WBMU","Airport"
"3859","SSH","HESH","Airport"
"3860","FKL","KFKL","Airport"
"3861","NBO","HKJK","Airport"
"3862","SEU","HTSN","Airport"
"3863","FTE","SAWC","Airport"
"3864","ARM","YARM","Airport"
"3865","GJT","KGJT","Airport"
"3866","SGU","KSGU","Airport"
"3867","DWH","KDWH","Airport"
"3869","SRQ","KSRQ","Airport"
"3870","BDA","TXKF","Airport"
"3872","VNY","KVNY","Airport"
"3873","MLI","KMLI","Airport"
"3874","PFN","KPFN","Airport"
"3875","HIR","AGGH","Airport"
"3876","PPT","NTAA","Airport"
"3877","INU","ANYN","Airport"
"3878","FUN","NGFU","Airport"
"3879","OVB","UNNT","Airport"
"3882","XKH","VLXK","Airport"
"3884","BIS","KBIS","Airport"
"3885","TEX","KTEX","Airport"
"3887","HGN","VTCH","Airport"
"3888","RAP","KRAP","Airport"
"3889","CLD","KCRQ","Airport"
"3890","FNT","KFNT","Airport"
"3891","DVO","RPMD","Airport"
"3892","FNC","LPMA","Airport"
"3893","STM","SBSN","Airport"
"3894","KOS","VDSV","Airport"
"3895","YOA","CYOA","Airport"
"3896","NPE","NZNR","Airport"
"3898","LXA","ZULS","Airport"
"3899","RDD","KRDD","Airport"
"3901","IDA","KIDA","Airport"
"3902","MFR","KMFR","Airport"
"3903","KBZ","NZKI","Airport"
"3906","WDH","FYWH","Airport"
"3909","TNA","ZSJN","Airport"
"3910","CZX","ZSCG","Airport"
"3911","YBP","ZUYB","Airport"
"3912","TJM","USTR","Airport"
"3913","CAK","KCAK","Airport"
"3915","PKB","KPKB","Airport"
"3916","MGM","KMGM","Airport"
"3917","TRI","KTRI","Airport"
"3918","PAH","KPAH","Airport"
"3920","JIB","HDAM","Airport"
"3921","HAK","ZJHK","Airport"
"3922","MFA","HTMA","Airport"
"3924","PGA","KPGA","Airport"
"3925","UII","MHUT","Airport"
"3927","FCA","KGPI","Airport"
"3928","MBS","KMBS","Airport"
"3930","BGW","ORBI","Airport"
"3931","NNT","VTCN","Airport"
"3932","ROI","VTUV","Airport"
"3933","BFV","VTUO","Airport"
"3935","TDX","VTBO","Airport"
"3936","BLH","KBLH","Airport"
"3940","CRK","RPLC","Airport"
"3941","SDK","WBKS","Airport"
"3942","LXG","VLLN","Airport"
"3943","ODY","VLOS","Airport"
"3944","SHE","ZYTX","Airport"
"3945","DOY","ZSDY","Airport"
"3946","MNI","TRPG","Airport"
"3947","PSG","PAPG","Airport"
"3948","LYA","ZHLY","Airport"
"3949","XUZ","ZSXZ","Airport"
"3951","MWQ","VYMW","Airport"
"3952","KHM","VYKI","Airport"
"3953","DLI","VVDL","Airport"
"3954","VDH","VVDH","Airport"
"3955","VKG","VVRG","Airport"
"3956","CAH","VVCM","Airport"
"3957","VCL","VVCA","Airport"
"3958","TBB","VVTH","Airport"
"3959","PYY","VTCI","Airport"
"3960","BWK","LDSB","Airport"
"3961","NSI","FKYS","Airport"
"3962","CKY","GUCY","Airport"
"3965","AAH","EDKA","Airport"
"3966","FKB","EDSB","Airport"
"3967","SFB","KSFB","Airport"
"3969","JST","KJST","Airport"
"3970","LUA","VNLK","Airport"
"3971","BHP","VNBJ","Airport"
"3972","LDN","VNLD","Airport"
"3973","JMO","VNJS","Airport"
"3974","NGX","VNMA","Airport"
"3975","PPL","VNPL","Airport"
"3977","RUM","VNRT","Airport"
"3978","DNP","VNDG","Airport"
"3979","RUK","VNRK","Airport"
"3980","JUM","VNJL","Airport"
"3982","TPJ","VNTJ","Airport"
"3983","TMI","VNTR","Airport"
"3984","SKH","VNSK","Airport"
"3985","IMK","VNST","Airport"
"3986","DOP","VNDP","Airport"
"3987","BJH","VNBG","Airport"
"3988","DHI","VNDH","Airport"
"3989","MWX","RKJB","Airport"
"3990","JTY","LGPL","Airport"
"3991","JIK","LGIK","Airport"
"3992","JKL","LGKY","Airport"
"3993","MLO","LGML","Airport"
"3994","JNX","LGNX","Airport"
"3995","PAS","LGPA","Airport"
"3996","KZS","LGKJ","Airport"
"3997","RMF","HEMA","Airport"
"3998","NRN","EDLV","Airport"
"3999","USU","RPVV","Airport"
"4000","BXU","RPME","Airport"
"4001","DPL","RPMG","Airport"
"4002","LAO","RPLI","Airport"
"4003","LGP","RPLP","Airport"
"4004","OZC","RPMO","Airport"
"4005","CEB","RPVM","Airport"
"4006","NOD","EDWS","Airport"
"4007","JUI","EDWJ","Airport"
"4008","BPS","SBPS","Airport"
"4011","QIG","SNIG","Airport"
"4012","PMW","SBPJ","Airport"
"4013","CLV","SBCN","Airport"
"4014","MSO","KMSO","Airport"
"4015","BKQ","YBCK","Airport"
"4016","BDB","YBUD","Airport"
"4017","GCN","KGCN","Airport"
"4018","SGR","KSGR","Airport"
"4020","APA","KAPA","Airport"
"4021","CVN","KCVN","Airport"
"4022","FST","KFST","Airport"
"4023","LVS","KLVS","Airport"
"4024","IWS","KIWS","Airport"
"4026","LRU","KLRU","Airport"
"4027","BKD","KBKD","Airport"
"4028","TPL","KTPL","Airport"
"4029","OZA","KOZA","Airport"
"4031","KDM","VRMT","Airport"
"4032","LAK","CYKD","Airport"
"4033","YWJ","CYWJ","Airport"
"4034","ZFN","CZFN","Airport"
"4035","YGH","CYGH","Airport"
"4038","TAH","NVVW","Airport"
"4039","YPC","CYPC","Airport"
"4041","SRZ","SLET","Airport"
"4043","SAB","TNCS","Airport"
"4044","EGE","KEGE","Airport"
"4046","SKN","ENSK","Airport"
"4047","CGF","KCGF","Airport"
"4048","MFD","KMFD","Airport"
"4049","CSG","KCSG","Airport"
"4050","LAW","KLAW","Airport"
"4051","FNL","KFNL","Airport"
"4052","FLG","KFLG","Airport"
"4053","TVL","KTVL","Airport"
"4054","TWF","KTWF","Airport"
"4056","MVY","KMVY","Airport"
"4059","CON","KCON","Airport"
"4061","GON","KGON","Airport"
"4062","STC","KSTC","Airport"
"4063","BPE","ZBDH","Airport"
"4064","GTR","KGTR","Airport"
"4065","GOJ","UWGG","Airport"
"4066","HQM","KHQM","Airport"
"4070","SPR","MZSP","Airport"
"4071","SDX","KSEZ","Airport"
"4076","CRW","KCRW","Airport"
"4077","AVP","KAVP","Airport"
"4078","BJI","KBJI","Airport"
"4080","THG","YTNG","Airport"
"4081","FGI","NSFI","Airport"
"4082","BNK","YBNA","Airport"
"4083","FAR","KFAR","Airport"
"4084","MKC","KMKC","Airport"
"4085","RBE","VDRK","Airport"
"4086","GCC","KGCC","Airport"
"4087","TOF","UNTT","Airport"
"4088","NZJ","KNZJ","Train"
